id,student_id,center,loginTime,login,trial_time,audio1_time,passage1_time,audio2_time,passage2_time,feedback_time
1,1051001,1051,2024-06-26 09:42:20,logged in,,,,,,
2,1551001,1551,2024-06-26 11:32:11,logged in,,,,,,
14,1151001,1151,2024-06-26 10:17:24,logged in,,,,,,
18,7351506512,7351,2024-06-26 09:45:54,logged in,,,,,,
19,2251501267,2251,2024-06-26 09:45:55,logged in,,,,,,
20,6251505449,6251,2024-06-26 09:45:57,logged in,,,,,,
21,8351507027,8351,2024-06-26 09:45:58,logged in,,,,,,
22,6151505259,6151,2024-06-26 09:48:05,logged in,,,,,,
23,7351506511,7351,2024-06-26 09:46:01,logged in,,,,,,
24,7351506508,7351,2024-06-26 09:46:02,logged in,,,,,,
25,7351506505,7351,2024-06-26 09:46:05,logged in,,,,,,
26,7351506504,7351,2024-06-26 09:46:06,logged in,,,,,,
27,7351506506,7351,2024-06-26 09:46:07,logged in,,,,,,
28,4151502526,4151,2024-06-26 09:46:11,logged in,,,,,,
29,7351506513,7351,2024-06-26 09:46:11,logged in,,,,,,
30,6151505245,6151,2024-06-26 09:46:11,logged in,,,,,,
31,7351506509,7351,2024-06-26 09:46:11,logged in,,,,,,
32,1151500014,1151,2024-06-26 09:46:14,logged in,,,,,,
33,1151500013,1151,2024-06-26 09:46:20,logged in,,,,,,
34,8351507064,8351,2024-06-26 09:46:21,logged in,,,,,,
35,8351507059,8351,2024-06-26 09:46:21,logged in,,,,,,
36,1551500509,1551,2024-06-26 09:46:25,logged in,,,,,,
37,1151500015,1151,2024-06-26 09:46:26,logged in,,,,,,
38,1151500016,1151,2024-06-26 09:46:27,logged in,,,,,,
39,6151505242,6151,2024-06-26 09:46:28,logged in,,,,,,
40,3351502260,3351,2024-06-26 09:54:36,logged in,,,,,,
41,6151505241,6151,2024-06-26 09:46:30,logged in,,,,,,
42,6151505244,6151,2024-06-26 09:46:31,logged in,,,,,,
43,1151500011,1151,2024-06-26 09:46:33,logged in,,,,,,
44,1151500005,1151,2024-06-26 09:46:33,logged in,,,,,,
45,6151505248,6151,2024-06-26 09:46:34,logged in,,,,,,
46,1552500699,1552,2024-06-26 09:46:34,logged in,,,,,,
47,1151500006,1151,2024-06-26 09:46:35,logged in,,,,,,
48,1151500012,1151,2024-06-26 09:55:49,logged in,,,,,,
49,3351502261,3351,2024-06-26 09:54:26,logged in,,,,,,
50,6151505257,6151,2024-06-26 09:46:37,logged in,,,,,,
51,6251505442,6251,2024-06-26 09:46:37,logged in,,,,,,
52,8351507023,8351,2024-06-26 09:46:38,logged in,,,,,,
53,8351507038,8351,2024-06-26 09:46:38,logged in,,,,,,
54,1552500715,1552,2024-06-26 09:46:38,logged in,,,,,,
55,3351502262,3351,2024-06-26 10:02:54,logged in,,,,,,
57,6151505256,6151,2024-06-26 09:46:42,logged in,,,,,,
58,3351502266,3351,2024-06-26 09:46:45,logged in,,,,,,
59,3351502275,3351,2024-06-26 09:46:47,logged in,,,,,,
60,6151505249,6151,2024-06-26 09:46:48,logged in,,,,,,
61,3351502268,3351,2024-06-26 09:46:53,logged in,,,,,,
62,3351502234,3351,2024-06-26 09:50:51,logged in,,,,,,
63,6151505262,6151,2024-06-26 09:46:54,logged in,,,,,,
64,6151505254,6151,2024-06-26 09:46:55,logged in,,,,,,
65,7551506605,7551,2024-06-26 09:49:27,logged in,,,,,,
66,6151505253,6151,2024-06-26 09:46:56,logged in,,,,,,
67,3351502267,3351,2024-06-26 09:46:56,logged in,,,,,,
68,3351502254,3351,2024-06-26 09:49:46,logged in,,,,,,
69,3351502272,3351,2024-06-26 09:46:58,logged in,,,,,,
70,3351502265,3351,2024-06-26 09:46:58,logged in,,,,,,
71,3351502238,3351,2024-06-26 09:49:46,logged in,,,,,,
72,3351502277,3351,2024-06-26 09:46:58,logged in,,,,,,
73,3351502255,3351,2024-06-26 09:49:53,logged in,,,,,,
74,1251500228,1251,2024-06-26 09:46:59,logged in,,,,,,
75,3351502263,3351,2024-06-26 09:50:44,logged in,,,,,,
76,3351502274,3351,2024-06-26 09:47:00,logged in,,,,,,
77,3351502256,3351,2024-06-26 09:50:01,logged in,,,,,,
78,3351502264,3351,2024-06-26 09:47:01,logged in,,,,,,
79,6151505288,6151,2024-06-26 09:47:02,logged in,,,,,,
80,3351502270,3351,2024-06-26 09:47:02,logged in,,,,,,
81,7551506597,7551,2024-06-26 09:47:02,logged in,,,,,,
82,3351502247,3351,2024-06-26 09:49:46,logged in,,,,,,
83,2251501228,2251,2024-06-26 09:47:05,logged in,,,,,,
84,1551500536,1551,2024-06-26 09:50:32,logged in,,,,,,
85,3351502258,3351,2024-06-26 09:50:20,logged in,,,,,,
86,3351502276,3351,2024-06-26 09:47:06,logged in,,,,,,
87,6151505263,6151,2024-06-26 09:47:08,logged in,,,,,,
88,7551506616,7551,2024-06-26 09:47:10,logged in,,,,,,
89,1251500227,1251,2024-06-26 09:49:52,logged in,,,,,,
90,7551506598,7551,2024-06-26 09:47:12,logged in,,,,,,
91,2251501256,2251,2024-06-26 09:47:16,logged in,,,,,,
92,6151505271,6151,2024-06-26 09:47:16,logged in,,,,,,
93,1251500230,1251,2024-06-26 09:47:17,logged in,,,,,,
94,7551506607,7551,2024-06-26 09:47:17,logged in,,,,,,
95,7551506608,7551,2024-06-26 09:47:19,logged in,,,,,,
96,1251500205,1251,2024-06-26 09:47:19,logged in,,,,,,
97,1251500202,1251,2024-06-26 10:00:05,logged in,,,,,,
98,2251501263,2251,2024-06-26 09:47:21,logged in,,,,,,
99,1251500210,1251,2024-06-26 09:47:21,logged in,,,,,,
100,1251500208,1251,2024-06-26 09:47:21,logged in,,,,,,
101,1251500220,1251,2024-06-26 09:47:21,logged in,,,,,,
102,1151500004,1151,2024-06-26 09:47:22,logged in,,,,,,
103,7551506614,7551,2024-06-26 09:50:58,logged in,,,,,,
104,7551506599,7551,2024-06-26 09:47:23,logged in,,,,,,
105,6151505278,6151,2024-06-26 09:47:23,logged in,,,,,,
106,1251500221,1251,2024-06-26 09:47:23,logged in,,,,,,
107,6151505270,6151,2024-06-26 09:47:24,logged in,,,,,,
108,1251500207,1251,2024-06-26 09:47:24,logged in,,,,,,
109,6551505825,6551,2024-06-26 09:47:24,logged in,,,,,,
110,2251501257,2251,2024-06-26 09:47:25,logged in,,,,,,
111,1251500206,1251,2024-06-26 09:47:25,logged in,,,,,,
112,2251501264,2251,2024-06-26 09:47:25,logged in,,,,,,
113,6151505274,6151,2024-06-26 09:47:27,logged in,,,,,,
114,1151500031,1151,2024-06-26 09:47:27,logged in,,,,,,
115,7551506610,7551,2024-06-26 09:47:28,logged in,,,,,,
116,1251500217,1251,2024-06-26 09:47:28,logged in,,,,,,
117,1251500214,1251,2024-06-26 09:47:28,logged in,,,,,,
118,7551506596,7551,2024-06-26 09:47:29,logged in,,,,,,
119,7551506609,7551,2024-06-26 09:47:29,logged in,,,,,,
120,6151505276,6151,2024-06-26 09:47:29,logged in,,,,,,
121,1251500223,1251,2024-06-26 09:47:30,logged in,,,,,,
122,1251500201,1251,2024-06-26 09:47:30,logged in,,,,,,
123,1251500225,1251,2024-06-26 09:47:30,logged in,,,,,,
124,1251500199,1251,2024-06-26 09:47:30,logged in,,,,,,
125,1251500204,1251,2024-06-26 09:47:30,logged in,,,,,,
126,7551506593,7551,2024-06-26 09:47:31,logged in,,,,,,
127,7551506612,7551,2024-06-26 09:47:31,logged in,,,,,,
128,7551506617,7551,2024-06-26 09:47:31,logged in,,,,,,
129,1251500198,1251,2024-06-26 09:47:32,logged in,,,,,,
130,1151500030,1151,2024-06-26 10:06:30,logged in,,,,,,
131,7551506594,7551,2024-06-26 10:12:15,logged in,,,,,,
132,7551506595,7551,2024-06-26 10:10:48,logged in,,,,,,
133,6151505275,6151,2024-06-26 09:47:32,logged in,,,,,,
134,6151505250,6151,2024-06-26 09:47:32,logged in,,,,,,
135,1151500035,1151,2024-06-26 09:47:33,logged in,,,,,,
136,1251500219,1251,2024-06-26 09:47:33,logged in,,,,,,
137,1151500018,1151,2024-06-26 09:47:33,logged in,,,,,,
138,1151500032,1151,2024-06-26 09:48:47,logged in,,,,,,
139,1251500216,1251,2024-06-26 09:47:34,logged in,,,,,,
140,7551506603,7551,2024-06-26 09:47:35,logged in,,,,,,
141,6151505265,6151,2024-06-26 09:47:35,logged in,,,,,,
142,1151500020,1151,2024-06-26 09:54:00,logged in,,,,,,
143,6151505251,6151,2024-06-26 09:47:35,logged in,,,,,,
144,7551506615,7551,2024-06-26 09:47:36,logged in,,,,,,
145,2251501266,2251,2024-06-26 09:47:36,logged in,,,,,,
146,6151505252,6151,2024-06-26 09:47:38,logged in,,,,,,
147,6151505280,6151,2024-06-26 09:47:38,logged in,,,,,,
148,6151505273,6151,2024-06-26 09:47:39,logged in,,,,,,
149,1251500213,1251,2024-06-26 09:47:40,logged in,,,,,,
150,2251501255,2251,2024-06-26 09:47:40,logged in,,,,,,
151,1251500226,1251,2024-06-26 09:47:42,logged in,,,,,,
152,1251500212,1251,2024-06-26 09:47:42,logged in,,,,,,
153,6151505289,6151,2024-06-26 09:47:42,logged in,,,,,,
154,3351502235,3351,2024-06-26 09:47:44,logged in,,,,,,
155,6151505281,6151,2024-06-26 09:47:45,logged in,,,,,,
156,6151505267,6151,2024-06-26 09:47:45,logged in,,,,,,
157,2251501254,2251,2024-06-26 09:47:45,logged in,,,,,,
159,6151505285,6151,2024-06-26 09:47:46,logged in,,,,,,
160,7551506604,7551,2024-06-26 10:00:41,logged in,,,,,,
161,6151505284,6151,2024-06-26 09:47:47,logged in,,,,,,
162,6151505266,6151,2024-06-26 09:47:47,logged in,,,,,,
163,8351507043,8351,2024-06-26 09:47:47,logged in,,,,,,
164,6151505269,6151,2024-06-26 09:47:47,logged in,,,,,,
165,1251500215,1251,2024-06-26 09:47:48,logged in,,,,,,
166,8151506776,8151,2024-06-26 09:47:48,logged in,,,,,,
167,6151505272,6151,2024-06-26 09:47:48,logged in,,,,,,
169,6151505287,6151,2024-06-26 09:47:49,logged in,,,,,,
170,6151505286,6151,2024-06-26 09:47:52,logged in,,,,,,
171,2251501270,2251,2024-06-26 09:47:52,logged in,,,,,,
172,1251500203,1251,2024-06-26 09:47:53,logged in,,,,,,
173,6151505247 ,6151,2024-06-26 09:47:54,logged in,,,,,,
174,6551505829,6551,2024-06-26 09:47:56,logged in,,,,,,
175,1551500530,1551,2024-06-26 09:47:57,logged in,,,,,,
176,1251500224,1251,2024-06-26 09:48:01,logged in,,,,,,
177,6151505282,6151,2024-06-26 09:48:02,logged in,,,,,,
178,1151500001,1151,2024-06-26 09:54:17,logged in,,,,,,
179,6551505828,6551,2024-06-26 09:48:04,logged in,,,,,,
181,6551505813,6551,2024-06-26 09:48:08,logged in,,,,,,
182,5351504580,5351,2024-06-26 09:48:09,logged in,,,,,,
183,1151500025,1151,2024-06-26 09:58:00,logged in,,,,,,
184,6551505808,6551,2024-06-26 09:48:12,logged in,,,,,,
185,6551505811,6551,2024-06-26 09:48:12,logged in,,,,,,
186,6551505807,6551,2024-06-26 09:48:16,logged in,,,,,,
187,6551505819,6551,2024-06-26 09:48:18,logged in,,,,,,
188,8351507035,8351,2024-06-26 09:48:18,logged in,,,,,,
189,6551505818,6551,2024-06-26 09:48:20,logged in,,,,,,
190,1251500222,1251,2024-06-26 09:48:20,logged in,,,,,,
191,6551505810,6551,2024-06-26 09:48:20,logged in,,,,,,
193,6551505823,6551,2024-06-26 09:48:23,logged in,,,,,,
